Title,Title_URL,sceqndng,sckjwddk_URL,sckjwddk,sceqndng1,sceqndng2,sceqndng3,googlesymbols,scfvhblr,sceqndng4,sckobvlg
Heart Disease,https://www.kaggle.com/datasets/neurocipher/heartdisease,NeuroCipher ·  Updated 7 days ago ,https://www.kaggle.com/neurocipher,NeuroCipher,7 days ago,"Usability 10.0 · 1 File (CSV) · 3 kB · 2,039 downloads · 12 notebooks",Usability 10.0,arrow_drop_up,50,,more_horiz
Student Performance,https://www.kaggle.com/datasets/neurocipher/student-performance,NeuroCipher ·  Updated 6 days ago ,https://www.kaggle.com/neurocipher,NeuroCipher,6 days ago,"Usability 10.0 · 1 File (CSV) · 50 kB · 1,213 downloads · 9 notebooks",Usability 10.0,arrow_drop_up,38, Bronze,more_horiz
AI Impact on Jobs 2030,https://www.kaggle.com/datasets/khushikyad001/ai-impact-on-jobs-2030,Khushi Yadav ·  Updated a month ago ,https://www.kaggle.com/khushikyad001,Khushi Yadav,a month ago,"Usability 10.0 · 1 File (CSV) · 87 kB · 9,235 downloads · 27 notebooks",Usability 10.0,arrow_drop_up,197, Bronze,more_horiz
Laptop Battery Health & Usage Dataset,https://www.kaggle.com/datasets/prince7489/laptop-battery-health-and-usage-dataset,Prince Rajak ·  Updated 3 days ago ,https://www.kaggle.com/prince7489,Prince Rajak,3 days ago,Usability 9.4 · 1 File (CSV) · 1 kB · 813 downloads · 7 notebooks,Usability 9.4,arrow_drop_up,24, Bronze,more_horiz
Top 2000 Highest-Rated TV Shows Dataset,https://www.kaggle.com/datasets/raveennimbiwal/top-rated-tv-shows-dataset-global-2025,Raveennimbiwal ·  Updated 23 days ago ,https://www.kaggle.com/raveennimbiwal,Raveennimbiwal,23 days ago,"Usability 10.0 · 1 File (CSV) · 322 kB · 1,600 downloads · 3 notebooks",Usability 10.0,arrow_drop_up,27,,more_horiz
Customer Churn Prediction  Business  Dataset,https://www.kaggle.com/datasets/miadul/customer-churn-prediction-business-dataset,Arif Miah ·  Updated 4 days ago ,https://www.kaggle.com/miadul,Arif Miah,4 days ago,Usability 7.1 · 1 File (CSV) · 520 kB · 624 downloads · 11 notebooks,Usability 7.1,arrow_drop_up,29, Bronze,more_horiz
Top 100 Cryptocurrencies - Daily Price Data (2025),https://www.kaggle.com/datasets/mihikaajayjadhav/top-100-cryptocurrencies-daily-price-data-2025,Mihika Jadhav ·  Updated 15 days ago ,https://www.kaggle.com/mihikaajayjadhav,Mihika Jadhav,15 days ago,Usability 10.0 · 3 Files (CSV) · 3 MB · 759 downloads · 5 notebooks,Usability 10.0,arrow_drop_up,23,,more_horiz
Python Learning & Exam Performance Dataset,https://www.kaggle.com/datasets/emonsharkar/python-learning-and-exam-performance-dataset,emonsharkar ·  Updated 17 days ago ,https://www.kaggle.com/emonsharkar,emonsharkar,17 days ago,"Usability 10.0 · 1 File (CSV) · 49 kB · 1,265 downloads · 16 notebooks",Usability 10.0,arrow_drop_up,40, Bronze,more_horiz
powerlifting-database,https://www.kaggle.com/datasets/dansbecker/powerlifting-database,DanB ·  Updated 7 years ago ,https://www.kaggle.com/dansbecker,DanB,7 years ago,"Usability 5.9 · 2 Files (CSV) · 9 MB · 24.2K downloads · 4,341 notebooks",Usability 5.9,arrow_drop_up,343, Gold,more_horiz
Disaster Events 2025,https://www.kaggle.com/datasets/emirhanakku/disaster-events-2025,Emirhan Akkuş ·  Updated 10 days ago ,https://www.kaggle.com/emirhanakku,Emirhan Akkuş,10 days ago,Usability 10.0 · 1 File (CSV) · 843 kB · 394 downloads · 2 notebooks,Usability 10.0,arrow_drop_up,23, Silver,more_horiz
Student Stress Analysis,https://www.kaggle.com/datasets/wardabilal/student-stress-analysis,Warda Bilal ·  Updated 2 months ago ,https://www.kaggle.com/wardabilal,Warda Bilal,2 months ago,"Usability 10.0 · 2 Files (CSV) · 2 kB · 7,442 downloads · 5 notebooks",Usability 10.0,arrow_drop_up,121, Silver,more_horiz
AI vs Human Comparison Dataset,https://www.kaggle.com/datasets/prince7489/ai-vs-human-comparison-dataset,Prince Rajak ·  Updated 17 days ago ,https://www.kaggle.com/prince7489,Prince Rajak,17 days ago,Usability 9.4 · 1 File (CSV) · 19 kB · 747 downloads · 6 notebooks,Usability 9.4,arrow_drop_up,28,,more_horiz
Logistics Operations Database,https://www.kaggle.com/datasets/yogape/logistics-operations-database,Yogape Rodriguez ·  Updated 25 days ago ,https://www.kaggle.com/yogape,Yogape Rodriguez,25 days ago,"Usability 10.0 · 15 Files (CSV, other) · 15 MB · 1,761 downloads · 6 notebooks",Usability 10.0,arrow_drop_up,38,,more_horiz
DeepSearchQA,https://www.kaggle.com/datasets/deepmind/deepsearchqa,Google DeepMind ·  Updated a day ago ,https://www.kaggle.com/organizations/deepmind,Google DeepMind,a day ago,Usability 7.6 · 1 File (CSV) · 133 kB · 333 downloads · 2 notebooks,Usability 7.6,arrow_drop_up,23, Bronze,more_horiz
Daily AI Assistant Usage Behavior Dataset,https://www.kaggle.com/datasets/prince7489/daily-ai-assistant-usage-behavior-dataset,Prince Rajak ·  Updated a month ago ,https://www.kaggle.com/prince7489,Prince Rajak,a month ago,Usability 9.4 · 1 File (CSV) · 5 kB · 670 downloads · 4 notebooks,Usability 9.4,arrow_drop_up,27,,more_horiz
Climate & Energy Consumption Dataset 2020–2024,https://www.kaggle.com/datasets/emirhanakku/climate-and-energy-consumption-dataset-20202024,Emirhan Akkuş ·  Updated a month ago ,https://www.kaggle.com/emirhanakku,Emirhan Akkuş,a month ago,"Usability 10.0 · 1 File (CSV) · 929 kB · 1,282 downloads · 8 notebooks",Usability 10.0,arrow_drop_up,71, Gold,more_horiz
YouTube Shorts Performance Dataset,https://www.kaggle.com/datasets/prince7489/youtube-shorts-performance-dataset,Prince Rajak ·  Updated 24 days ago ,https://www.kaggle.com/prince7489,Prince Rajak,24 days ago,"Usability 9.4 · 1 File (CSV) · 7 kB · 1,392 downloads · 10 notebooks",Usability 9.4,arrow_drop_up,37,,more_horiz
Kidney Function Health Dataset,https://www.kaggle.com/datasets/miadul/kidney-function-health-dataset,Arif Miah ·  Updated a month ago ,https://www.kaggle.com/miadul,Arif Miah,a month ago,Usability 7.1 · 1 File (CSV) · 329 kB · 973 downloads · 10 notebooks,Usability 7.1,arrow_drop_up,31, Bronze,more_horiz
Tokopedia Product Reviews 2025,https://www.kaggle.com/datasets/salmanabdu/tokopedia-product-reviews-2025,Salman Abdurrahman ·  Updated 7 days ago ,https://www.kaggle.com/salmanabdu,Salman Abdurrahman,7 days ago,Usability 10.0 · 1 File (CSV) · 4 MB · 334 downloads · 4 notebooks,Usability 10.0,arrow_drop_up,21,,more_horiz
WhatsApp User Reviews Dataset 📱,https://www.kaggle.com/datasets/sonalshinde123/whatsapp-user-reviews-dataset,Sonal Shinde ·  Updated 17 days ago ,https://www.kaggle.com/sonalshinde123,Sonal Shinde,17 days ago,Usability 10.0 · 1 File (CSV) · 321 kB · 354 downloads · 2 notebooks,Usability 10.0,arrow_drop_up,16,,more_horiz
YouTube Tech Channels Statistics 2025,https://www.kaggle.com/datasets/mihikaajayjadhav/youtube-tech-channels-statistics-2025,Mihika Jadhav ·  Updated a month ago ,https://www.kaggle.com/mihikaajayjadhav,Mihika Jadhav,a month ago,"Usability 10.0 · 2 Files (CSV) · 126 kB · 1,041 downloads · 16 notebooks",Usability 10.0,arrow_drop_up,27, Bronze,more_horiz
Fast-Food Ordering Pattern Dataset,https://www.kaggle.com/datasets/prince7489/fast-food-ordering-pattern-dataset,Prince Rajak ·  Updated 25 days ago ,https://www.kaggle.com/prince7489,Prince Rajak,25 days ago,"Usability 9.4 · 1 File (CSV) · 9 kB · 1,229 downloads · 5 notebooks",Usability 9.4,arrow_drop_up,34,,more_horiz
indic-decibel-aqa-v0.1,https://www.kaggle.com/datasets/shyyshawarma/indic-decibel-aqa-v0-1,Abhinav Rajput ·  Updated 10 days ago ,https://www.kaggle.com/shyyshawarma,Abhinav Rajput,10 days ago,"Usability 7.5 · 11742 Files (other, JSON) · 2 GB · 13 downloads",Usability 7.5,arrow_drop_up,33,,more_horiz
Elevator Traffic Analytics Dataset,https://www.kaggle.com/datasets/prince7489/elevator-traffic-analytics-dataset,Prince Rajak ·  Updated 16 days ago ,https://www.kaggle.com/prince7489,Prince Rajak,16 days ago,Usability 9.4 · 1 File (CSV) · 3 kB · 122 downloads · 1 notebook,Usability 9.4,arrow_drop_up,14, Bronze,more_horiz
NBA Data (2012-2024),https://www.kaggle.com/datasets/kevinpickelman/nba-data-2012-2024,Kevin Pickelman ·  Updated a month ago ,https://www.kaggle.com/kevinpickelman,Kevin Pickelman,a month ago,"Usability 10.0 · 1 File (CSV) · 1 MB · 1,362 downloads · 3 notebooks",Usability 10.0,arrow_drop_up,36, Bronze,more_horiz
Epstein Ranked Dataset (U.S. House Oversight),https://www.kaggle.com/datasets/linogova/epstein-ranker-dataset-u-s-house-oversight,Lino Valdovinos ·  Updated 23 days ago ,https://www.kaggle.com/linogova,Lino Valdovinos,23 days ago,"Usability 9.4 · 28 Files (JSON, other) · 42 MB · 240 downloads",Usability 9.4,arrow_drop_up,17, Bronze,more_horiz
Shopping Behaviour and Product Ranking Dateset .,https://www.kaggle.com/datasets/nalisha/shopping-behaviour-and-product-ranking-dateset,Aleesha Nadeem ·  Updated a month ago ,https://www.kaggle.com/nalisha,Aleesha Nadeem,a month ago,"Usability 10.0 · 1 File (CSV) · 67 kB · 2,068 downloads · 9 notebooks",Usability 10.0,arrow_drop_up,74, Silver,more_horiz
Viral Shorts & Reels Performance Analytics Dataset,https://www.kaggle.com/datasets/prince7489/viral-shorts-and-reels-performance-analytics-dataset,Prince Rajak ·  Updated 21 days ago ,https://www.kaggle.com/prince7489,Prince Rajak,21 days ago,Usability 9.4 · 1 File (CSV) · 9 kB · 633 downloads · 5 notebooks,Usability 9.4,arrow_drop_up,28,,more_horiz
Video Games Sales,https://www.kaggle.com/datasets/lamskdna/video-games-sales,Prithu Verma ·  Updated a month ago ,https://www.kaggle.com/lamskdna,Prithu Verma,a month ago,"Usability 8.2 · 1 File (other) · 3 MB · 1,019 downloads · 2 notebooks",Usability 8.2,arrow_drop_up,19,,more_horiz
Delivery Logistics Dataset,https://www.kaggle.com/datasets/muhammadahmaddaar/diamonds-characteristics-and-pricing-analysis,Muhammad Ahmad ·  Updated 22 days ago ,https://www.kaggle.com/muhammadahmaddaar,Muhammad Ahmad,22 days ago,Usability 10.0 · 1 File (CSV) · 596 kB · 111 downloads · 1 notebook,Usability 10.0,arrow_drop_up,13, Bronze,more_horiz
Student_Performance_Dataset,https://www.kaggle.com/datasets/aliiihussain/student-performance-dataset,Ali Hussain ·  Updated a month ago ,https://www.kaggle.com/aliiihussain,Ali Hussain,a month ago,"Usability 10.0 · 1 File (CSV) · 671 B · 1,924 downloads · 2 notebooks",Usability 10.0,arrow_drop_up,37,,more_horiz
GitHub Trending Repositories Dataset (2025),https://www.kaggle.com/datasets/mihikaajayjadhav/github-trending-repositories-dataset-2025,Mihika Jadhav ·  Updated 15 days ago ,https://www.kaggle.com/mihikaajayjadhav,Mihika Jadhav,15 days ago,Usability 10.0 · 3 Files (CSV) · 94 kB · 109 downloads · 2 notebooks,Usability 10.0,arrow_drop_up,12,,more_horiz
Food Delivery Route Efficiency Dataset,https://www.kaggle.com/datasets/prince7489/food-delivery-route-efficiency-dataset,Prince Rajak ·  Updated a month ago ,https://www.kaggle.com/prince7489,Prince Rajak,a month ago,"Usability 9.4 · 1 File (CSV) · 4 kB · 1,720 downloads · 11 notebooks",Usability 9.4,arrow_drop_up,34, Bronze,more_horiz
IBM HR Analytics Employee Attrition & Performance,https://www.kaggle.com/datasets/pavansubhasht/ibm-hr-analytics-attrition-dataset,pavansubhash ·  Updated 9 years ago ,https://www.kaggle.com/pavansubhasht,pavansubhash,9 years ago,"Usability 8.8 · 1 File (CSV) · 51 kB · 282K downloads · 1,219 notebooks",Usability 8.8,arrow_drop_up,2848, Gold,more_horiz
MNIST  Dataset,https://www.kaggle.com/datasets/hojjatk/mnist-dataset,Hojjat Khodabakhsh ·  Updated 7 years ago ,https://www.kaggle.com/hojjatk,Hojjat Khodabakhsh,7 years ago,Usability 7.5 · 4 Files (other) · 23 MB · 204K downloads · 390 notebooks,Usability 7.5,arrow_drop_up,634, Silver,more_horiz
California Housing Prices,https://www.kaggle.com/datasets/camnugent/california-housing-prices,Cam Nugent ·  Updated 8 years ago ,https://www.kaggle.com/camnugent,Cam Nugent,8 years ago,"Usability 8.5 · 1 File (CSV) · 409 kB · 276K downloads · 1,309 notebooks",Usability 8.5,arrow_drop_up,1541, Gold,more_horiz
India House Rent Prediction,https://www.kaggle.com/datasets/pranavshinde36/india-house-rent-prediction,Pranav Shinde ·  Updated 15 days ago ,https://www.kaggle.com/pranavshinde36,Pranav Shinde,15 days ago,Usability 10.0 · 1 File (CSV) · 175 kB · 106 downloads · 1 notebook,Usability 10.0,arrow_drop_up,5,,more_horiz
Top_20_Pakistani_Universities,https://www.kaggle.com/datasets/shaistashahid/top-20-pakistani-universities,Shaista Shahid ·  Updated a month ago ,https://www.kaggle.com/shaistashahid,Shaista Shahid,a month ago,Usability 10.0 · 1 File (CSV) · 1 kB · 191 downloads · 2 notebooks,Usability 10.0,arrow_drop_up,23, Bronze,more_horiz
Superstore Sales Dataset,https://www.kaggle.com/datasets/rohitsahoo/sales-forecasting,Rohit Sahoo ·  Updated 5 years ago ,https://www.kaggle.com/rohitsahoo,Rohit Sahoo,5 years ago,Usability 10.0 · 1 File (CSV) · 492 kB · 149K downloads · 241 notebooks,Usability 10.0,arrow_drop_up,814, Silver,more_horiz
List of largest companies in World,https://www.kaggle.com/datasets/harshgupta4444/list-of-largest-companies-in-world,Harsh Gupta ·  Updated 22 days ago ,https://www.kaggle.com/harshgupta4444,Harsh Gupta,22 days ago,Usability 7.6 · 4 Files (CSV) · 9 kB · 387 downloads · 11 notebooks,Usability 7.6,arrow_drop_up,32, Silver,more_horiz
Heart Disease,https://www.kaggle.com/datasets/neurocipher/heartdisease,NeuroCipher ·  Updated 7 days ago ,https://www.kaggle.com/neurocipher,NeuroCipher,7 days ago,"Usability 10.0 · 1 File (CSV) · 3 kB · 2,039 downloads · 12 notebooks",Usability 10.0,arrow_drop_up,50,,more_horiz
Student Performance,https://www.kaggle.com/datasets/neurocipher/student-performance,NeuroCipher ·  Updated 6 days ago ,https://www.kaggle.com/neurocipher,NeuroCipher,6 days ago,"Usability 10.0 · 1 File (CSV) · 50 kB · 1,213 downloads · 9 notebooks",Usability 10.0,arrow_drop_up,38, Bronze,more_horiz
AI Impact on Jobs 2030,https://www.kaggle.com/datasets/khushikyad001/ai-impact-on-jobs-2030,Khushi Yadav ·  Updated a month ago ,https://www.kaggle.com/khushikyad001,Khushi Yadav,a month ago,"Usability 10.0 · 1 File (CSV) · 87 kB · 9,235 downloads · 27 notebooks",Usability 10.0,arrow_drop_up,197, Bronze,more_horiz
Laptop Battery Health & Usage Dataset,https://www.kaggle.com/datasets/prince7489/laptop-battery-health-and-usage-dataset,Prince Rajak ·  Updated 3 days ago ,https://www.kaggle.com/prince7489,Prince Rajak,3 days ago,Usability 9.4 · 1 File (CSV) · 1 kB · 813 downloads · 7 notebooks,Usability 9.4,arrow_drop_up,24, Bronze,more_horiz
Top 2000 Highest-Rated TV Shows Dataset,https://www.kaggle.com/datasets/raveennimbiwal/top-rated-tv-shows-dataset-global-2025,Raveennimbiwal ·  Updated 23 days ago ,https://www.kaggle.com/raveennimbiwal,Raveennimbiwal,23 days ago,"Usability 10.0 · 1 File (CSV) · 322 kB · 1,600 downloads · 3 notebooks",Usability 10.0,arrow_drop_up,27,,more_horiz
Customer Churn Prediction  Business  Dataset,https://www.kaggle.com/datasets/miadul/customer-churn-prediction-business-dataset,Arif Miah ·  Updated 4 days ago ,https://www.kaggle.com/miadul,Arif Miah,4 days ago,Usability 7.1 · 1 File (CSV) · 520 kB · 624 downloads · 11 notebooks,Usability 7.1,arrow_drop_up,29, Bronze,more_horiz
Top 100 Cryptocurrencies - Daily Price Data (2025),https://www.kaggle.com/datasets/mihikaajayjadhav/top-100-cryptocurrencies-daily-price-data-2025,Mihika Jadhav ·  Updated 15 days ago ,https://www.kaggle.com/mihikaajayjadhav,Mihika Jadhav,15 days ago,Usability 10.0 · 3 Files (CSV) · 3 MB · 759 downloads · 5 notebooks,Usability 10.0,arrow_drop_up,23,,more_horiz
Python Learning & Exam Performance Dataset,https://www.kaggle.com/datasets/emonsharkar/python-learning-and-exam-performance-dataset,emonsharkar ·  Updated 17 days ago ,https://www.kaggle.com/emonsharkar,emonsharkar,17 days ago,"Usability 10.0 · 1 File (CSV) · 49 kB · 1,265 downloads · 16 notebooks",Usability 10.0,arrow_drop_up,40, Bronze,more_horiz
powerlifting-database,https://www.kaggle.com/datasets/dansbecker/powerlifting-database,DanB ·  Updated 7 years ago ,https://www.kaggle.com/dansbecker,DanB,7 years ago,"Usability 5.9 · 2 Files (CSV) · 9 MB · 24.2K downloads · 4,341 notebooks",Usability 5.9,arrow_drop_up,343, Gold,more_horiz
Disaster Events 2025,https://www.kaggle.com/datasets/emirhanakku/disaster-events-2025,Emirhan Akkuş ·  Updated 10 days ago ,https://www.kaggle.com/emirhanakku,Emirhan Akkuş,10 days ago,Usability 10.0 · 1 File (CSV) · 843 kB · 394 downloads · 2 notebooks,Usability 10.0,arrow_drop_up,23, Silver,more_horiz
Student Stress Analysis,https://www.kaggle.com/datasets/wardabilal/student-stress-analysis,Warda Bilal ·  Updated 2 months ago ,https://www.kaggle.com/wardabilal,Warda Bilal,2 months ago,"Usability 10.0 · 2 Files (CSV) · 2 kB · 7,442 downloads · 5 notebooks",Usability 10.0,arrow_drop_up,121, Silver,more_horiz
AI vs Human Comparison Dataset,https://www.kaggle.com/datasets/prince7489/ai-vs-human-comparison-dataset,Prince Rajak ·  Updated 17 days ago ,https://www.kaggle.com/prince7489,Prince Rajak,17 days ago,Usability 9.4 · 1 File (CSV) · 19 kB · 747 downloads · 6 notebooks,Usability 9.4,arrow_drop_up,28,,more_horiz
Logistics Operations Database,https://www.kaggle.com/datasets/yogape/logistics-operations-database,Yogape Rodriguez ·  Updated 25 days ago ,https://www.kaggle.com/yogape,Yogape Rodriguez,25 days ago,"Usability 10.0 · 15 Files (CSV, other) · 15 MB · 1,761 downloads · 6 notebooks",Usability 10.0,arrow_drop_up,38,,more_horiz
DeepSearchQA,https://www.kaggle.com/datasets/deepmind/deepsearchqa,Google DeepMind ·  Updated a day ago ,https://www.kaggle.com/organizations/deepmind,Google DeepMind,a day ago,Usability 7.6 · 1 File (CSV) · 133 kB · 333 downloads · 2 notebooks,Usability 7.6,arrow_drop_up,23, Bronze,more_horiz
Daily AI Assistant Usage Behavior Dataset,https://www.kaggle.com/datasets/prince7489/daily-ai-assistant-usage-behavior-dataset,Prince Rajak ·  Updated a month ago ,https://www.kaggle.com/prince7489,Prince Rajak,a month ago,Usability 9.4 · 1 File (CSV) · 5 kB · 670 downloads · 4 notebooks,Usability 9.4,arrow_drop_up,27,,more_horiz
Climate & Energy Consumption Dataset 2020–2024,https://www.kaggle.com/datasets/emirhanakku/climate-and-energy-consumption-dataset-20202024,Emirhan Akkuş ·  Updated a month ago ,https://www.kaggle.com/emirhanakku,Emirhan Akkuş,a month ago,"Usability 10.0 · 1 File (CSV) · 929 kB · 1,282 downloads · 8 notebooks",Usability 10.0,arrow_drop_up,71, Gold,more_horiz
YouTube Shorts Performance Dataset,https://www.kaggle.com/datasets/prince7489/youtube-shorts-performance-dataset,Prince Rajak ·  Updated 24 days ago ,https://www.kaggle.com/prince7489,Prince Rajak,24 days ago,"Usability 9.4 · 1 File (CSV) · 7 kB · 1,392 downloads · 10 notebooks",Usability 9.4,arrow_drop_up,37,,more_horiz
